protein1_name,uniprot1,protein2_name,uniprot2,Genetic_Correlation,Lower_bound_rg,Upper_bound_rg,P,FDR,Heritability_1,P_value_Heritability_1,Heritability_2,P_value_Heritability_2,combined_score,experiments,experiments_transferred,validated,exp_score
A1BG,P04217,CRISP3,P54108,0.937993799,0.771777178,1,7.6811568842353e-08,0.000112979,0.014781602,0.000935219,0.023487899,5.99144490831538e-16,941,292,0,TRUE,TRUE
AHSG,P02765,SERPINA11,Q86U17,0.871587159,0.706170617,0.98019802,1.9350941980226e-11,7.96119701585496e-08,0.166787721,0,0.003493525,7.34135151236225e-09,582,0,41,TRUE,TRUE
AKT2,P31751,CDC37,Q16543,0.886388639,0.709970997,0.9819982,1.12702749301552e-07,0.000157507,0.00068936,0.062754427,0.000881264,0,944,292,142,TRUE,TRUE
AKT2,P31751,CDKN2D,P55273,0.882988299,0.711371137,0.97619762,7.42179435218821e-08,0.000109531,0.00068936,0.062754427,0.000854871,0.038755183,166,0,95,TRUE,TRUE
AKT2,P31751,PTPN6,P29350,0.873387339,0.706770677,0.96539654,4.62191999749909e-08,7.30217142276535e-05,0.00068936,0.062754427,0.000887903,0.048195268,186,0,97,TRUE,TRUE
AKT2,P31751,SLC9A3R1,O14745,0.895989599,0.740774077,0.97879788,3.42724336362425e-08,5.63885363244143e-05,0.00068936,0.062754427,0.000986204,0,181,0,94,TRUE,TRUE
AKT2,P31751,SRC,P12931,0.856985699,0.668966897,0.96059606,4.32590071965353e-07,0.00049704,0.00068936,0.062754427,0.000892376,0.07660619,829,0,45,TRUE,TRUE
AKT2,P31751,STAT5B,P51692,0.877987799,0.716771677,0.96539654,4.8454292512468e-08,7.57754013045607e-05,0.00068936,0.062754427,0.000861216,0.027357204,410,0,96,TRUE,TRUE
AMY1B,AMY1B,AMY2B,P19961,0.99879988,0.98439844,1,1.44260097778418e-30,5.43196010440871e-26,0.160956409,1.67542215211751e-13,0.287929168,9.42022673071275e-19,915,172,0,TRUE,TRUE
AMY2A,P04746,AMY2B,P19961,0.99919992,0.99759976,0.99979998,2.4638222930037e-71,3.89644921536956e-66,0.284395419,5.13781593106721e-19,0.316090836,1.70189723884261e-19,960,610,0,TRUE,TRUE
