protein1_name,uniprot1,protein2_name,uniprot2,Genetic_Correlation,Lower_bound_rg,Upper_bound_rg,P,FDR,Heritability_1,P_value_Heritability_1,Heritability_2,P_value_Heritability_2,combined_score,experiments,experiments_transferred,validated,exp_score,mutual_pathways,n_mutual,pair
ITGA2,P17301,ITGB1,P05556,0.633563356,0.467946795,0.753375338,4.77062782515466e-08,7.49064921329803e-05,0.166829897,6.4928185289247e-79,0.008315632,4.33281275741286e-12,999,722,114,TRUE,TRUE,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC|KEGG_DILATED_CARDIOMYOPATHY|KEGG_ECM_RECEPTOR_INTERACTION|KEGG_FOCAL_ADHESION|KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM|KEGG_PATHWAYS_IN_CANCER|KEGG_REGULATION_OF_ACTIN_CYTOSKELETON|KEGG_SMALL_CELL_LUNG_CANCER|KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY|PID_ARF6_TRAFFICKING_PATHWAY|PID_CXCR4_PATHWAY|PID_INTEGRIN1_PATHWAY|PID_INTEGRIN_CS_PATHWAY|PID_LYMPH_ANGIOGENESIS_PATHWAY|PID_SYNDECAN_2_PATHWAY|REACTOME_CHL1_INTERACTIONS|REACTOME_ECM_PROTEOGLYCANS|REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION|REACTOME_HEMOSTASIS|REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS|REACTOME_L1CAM_INTERACTIONS|REACTOME_LAMININ_INTERACTIONS|REACTOME_MET_ACTIVATES_PTK2_SIGNALING|REACTOME_MET_PROMOTES_CELL_MOTILITY|REACTOME_NERVOUS_SYSTEM_DEVELOPMENT|REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS|REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN|REACTOME_SIGNALING_BY_MET|REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES|REACTOME_SYNDECAN_INTERACTIONS|WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY|WP_CANCER_PATHWAYS|WP_EBOLA_VIRUS_INFECTION_IN_HOST|WP_FOCAL_ADHESION|WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING|WP_HIPPOMERLIN_SIGNALING_DYSREGULATION|WP_INTEGRINMEDIATED_CELL_ADHESION|WP_PI3KAKT_SIGNALING|WP_PLEURAL_MESOTHELIOMA|WP_SMALL_CELL_LUNG_CANCER|WP_VEDOLIZUMAB_THERAPY_FOR_INFLAMMATORY_BOWEL_DISEASE,46,ITGA2 ~ ITGB1
AKT2,P31751,SRC,P12931,0.856985699,0.668966897,0.96059606,4.32590071965353e-07,0.00049704,0.00068936,0.062754427,0.000892376,0.07660619,829,0,45,TRUE,TRUE,KEGG_ERBB_SIGNALING_PATHWAY|KEGG_FOCAL_ADHESION|KEGG_TIGHT_JUNCTION|KEGG_VEGF_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_P4_PR_PI3K_SIGNALING_PATHWAY|PID_ECADHERIN_KERATINOCYTE_PATHWAY|PID_MET_PATHWAY|PID_PI3KCI_AKT_PATHWAY|REACTOME_ADAPTIVE_IMMUNE_SYSTEM|REACTOME_CELL_CYCLE|REACTOME_CELL_CYCLE_MITOTIC|REACTOME_CO_INHIBITION_BY_CTLA4|REACTOME_CO_STIMULATION_BY_CD28|REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM|REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS|REACTOME_ESR_MEDIATED_SIGNALING|REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING|REACTOME_INFECTIOUS_DISEASE|REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS|REACTOME_MEMBRANE_TRAFFICKING|REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION|REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK|REACTOME_PI3K_AKT_SIGNALING_IN_CANCER|REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY|REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION|REACTOME_SIGNALING_BY_ERBB2|REACTOME_SIGNALING_BY_GPCR|REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS|REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES|REACTOME_SIGNALING_BY_VEGF|REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2|REACTOME_VESICLE_MEDIATED_TRANSPORT|WP_EFFECT_OF_DASATINIB_ON_THE_BCRABL_SIGNALING_PATHWAY|WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE|WP_ERBB_SIGNALING|WP_FOCAL_ADHESION|WP_GLIOBLASTOMA_SIGNALING|WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING|WP_HEPATITIS_B_INFECTION|WP_INTEGRINMEDIATED_CELL_ADHESION|WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA|WP_NRP1TRIGGERED_SIGNALING_IN_PANCREATIC_CANCER|WP_PLEURAL_MESOTHELIOMA|WP_RANKLRANK_SIGNALING|WP_RELATIONSHIP_BETWEEN_INFLAMMATION_COX2_AND_EGFR,45,AKT2 ~ SRC
IL6R,P08887,IL6,P05231,0.95479548,0.899189919,0.98459846,1.86924616376944e-20,3.28460862026097e-16,0.398772613,1.2148663467898e-185,0.018634801,1.10871911734884e-33,999,988,0,TRUE,TRUE,BIOCARTA_HER2_PATHWAY|BIOCARTA_IL6_PATHWAY|KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION|KEGG_HEMATOPOIETIC_CELL_LINEAGE|KEGG_JAK_STAT_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY|PID_IL6_7_PATHWAY|PID_SHP2_PATHWAY|REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM|REACTOME_INFECTIOUS_DISEASE|REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING|REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING|REACTOME_INTERLEUKIN_6_SIGNALING|REACTOME_MAPK1_ERK2_ACTIVATION|REACTOME_MAPK1_MAPK3_SIGNALING|REACTOME_MAPK3_ERK1_ACTIVATION|REACTOME_MAPK_FAMILY_SIGNALING_CASCADES|REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION|REACTOME_SIGNALING_BY_INTERLEUKINS|WP_CANCER_PATHWAYS|WP_CATABOLISM_OF_SKELETAL_MUSCLE_IN_CACHEXIA|WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION|WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE|WP_FOXP3_IN_COVID19|WP_GLP1_IN_PANCREATIC_ISLET_CELLS|WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING|WP_HEPATITIS_C_AND_HEPATOCELLULAR_CARCINOMA|WP_IL6_SIGNALING|WP_JAKSTAT_SIGNALING_IN_THE_REGULATION_OF_BETA_CELLS|WP_NCRNAS_INVOLVED_IN_STAT3_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA|WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING|WP_NONALCOHOLIC_FATTY_LIVER_DISEASE|WP_PI3KAKT_SIGNALING|WP_PLURIPOTENT_STEM_CELL_DIFFERENTIATION_PATHWAY|WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE|WP_SENESCENCE_AND_AUTOPHAGY_IN_CANCER|WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS|WP_TH17_CELL_DIFFERENTIATION_PATHWAY,39,IL6R ~ IL6
IL12B,P29460,IL12A,IL12B,0.99979998,0.99959996,1,1.06763003756655e-181,8.44211367750503e-176,0.257588894,1.34378704366134e-35,0.237943554,4.14265638352501e-33,999,977,0,TRUE,TRUE,BIOCARTA_TH1TH2_PATHWAY|KEGG_ALLOGRAFT_REJECTION|KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION|KEGG_JAK_STAT_SIGNALING_PATHWAY|KEGG_LEISHMANIA_INFECTION|KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY|KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY|KEGG_TYPE_I_DIABETES_MELLITUS|KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_IL12_23_TO_JAK_STAT_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_TLR1_2_4_NFKB_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY|PID_IL12_2PATHWAY|PID_IL27_PATHWAY|REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM|REACTOME_INTERLEUKIN_10_SIGNALING|REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING|REACTOME_INTERLEUKIN_12_SIGNALING|REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING|REACTOME_SIGNALING_BY_INTERLEUKINS|WP_ACUTE_VIRAL_MYOCARDITIS|WP_ALLOGRAFT_REJECTION|WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873|WP_CANCER_PATHWAYS|WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY|WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER|WP_MEASLES_VIRUS_INFECTION|WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING|WP_NUCLEAR_RECEPTORS_METAPATHWAY|WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS|WP_RESISTIN_AS_A_REGULATOR_OF_INFLAMMATION|WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION|WP_TCELL_ACTIVATION_SARSCOV2|WP_TOLLLIKE_RECEPTOR_SIGNALING,35,IL12B ~ IL12A
FN1,P02751,ITGA5,P08648,0.949394939,0.876987699,0.99039904,4.3833450795121e-19,6.8770909750393e-15,0.150233525,2.91723791704074e-38,0.012106234,2.81750994501535e-10,999,986,0,TRUE,TRUE,KEGG_ECM_RECEPTOR_INTERACTION|KEGG_FOCAL_ADHESION|KEGG_REGULATION_OF_ACTIN_CYTOSKELETON|KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY|PID_ANGIOPOIETIN_RECEPTOR_PATHWAY|PID_INTEGRIN1_PATHWAY|PID_LYMPH_ANGIOGENESIS_PATHWAY|PID_SYNDECAN_2_PATHWAY|PID_SYNDECAN_4_PATHWAY|PID_UPA_UPAR_PATHWAY|REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI|REACTOME_CELLULAR_RESPONSES_TO_STIMULI|REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL|REACTOME_ELASTIC_FIBRE_FORMATION|REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION|REACTOME_FIBRONECTIN_MATRIX_FORMATION|REACTOME_GPER1_SIGNALING|REACTOME_G_ALPHA_S_SIGNALLING_EVENTS|REACTOME_HEMOSTASIS|REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS|REACTOME_SIGNALING_BY_GPCR|REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS|WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER|WP_FOCAL_ADHESION|WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING|WP_PI3KAKT_SIGNALING|WP_TROP2_REGULATORY_SIGNALING,32,FN1 ~ ITGA5
APOA1,P02647,APOA2,P02652,1,0.806180618,1,6.50274125907355e-08,9.77924972026341e-05,0.003715582,2.73778549705917e-09,0.001761263,5.81992055214047e-06,999,612,58,TRUE,TRUE,BIOCARTA_PPARA_PATHWAY|KEGG_PPAR_SIGNALING_PATHWAY|REACTOME_CHYLOMICRON_ASSEMBLY|REACTOME_CHYLOMICRON_REMODELING|REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS|REACTOME_METABOLISM_OF_LIPIDS|REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS|REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY|REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE|REACTOME_PLASMA_LIPOPROTEIN_REMODELING|REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION|REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS|REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA|REACTOME_SENSORY_PERCEPTION|REACTOME_TRANSPORT_OF_SMALL_MOLECULES|REACTOME_VISUAL_PHOTOTRANSDUCTION|WP_CHOLESTEROL_METABOLISM|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5|WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES|WP_LIPID_PARTICLES_COMPOSITION|WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES|WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING|WP_NUCLEAR_RECEPTORS_METAPATHWAY|WP_PPARALPHA_PATHWAY|WP_PPAR_SIGNALING|WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,30,APOA1 ~ APOA2
AKT2,P31751,BCL2L1,Q07817,0.811981198,0.650165017,0.907590759,4.07486067237189e-08,6.55169819866282e-05,0.00068936,0.062754427,0.000937943,0.025784007,939,0,0,TRUE,FALSE,SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES|KEGG_APOPTOSIS|KEGG_CHRONIC_MYELOID_LEUKEMIA|KEGG_JAK_STAT_SIGNALING_PATHWAY|KEGG_PANCREATIC_CANCER|KEGG_PATHWAYS_IN_CANCER|KEGG_SMALL_CELL_LUNG_CANCER|PID_PI3KCI_AKT_PATHWAY|REACTOME_APOPTOSIS|REACTOME_CELLULAR_RESPONSES_TO_STIMULI|REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS|REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM|REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS|REACTOME_INFECTIOUS_DISEASE|REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS|REACTOME_KEAP1_NFE2L2_PATHWAY|REACTOME_PROGRAMMED_CELL_DEATH|REACTOME_SARS_COV_INFECTIONS|REACTOME_VIRAL_INFECTION_PATHWAYS|WP_APOPTOSIS_REGULATION_BY_PARATHYROID_HORMONERELATED_PROTEIN|WP_CANCER_PATHWAYS|WP_EFFECT_OF_OMEGA3_PUFA_ON_HUNTINGTONS_DISEASE_PATHWAYS|WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE|WP_PANCREATIC_ADENOCARCINOMA_PATHWAY|WP_PI3KAKT_SIGNALING|WP_RAS_SIGNALING|WP_SMALL_CELL_LUNG_CANCER,27,AKT2 ~ BCL2L1
VEGFA,P15692,FLT1,P17948,-0.9779978,-0.99079908,-0.95879588,1.24098661926466e-68,1.88709341541606e-63,0.274174042,9.73632873501792e-84,0.091092963,5.70176080112096e-45,,,,FALSE,FALSE,BIOCARTA_NO1_PATHWAY|BIOCARTA_VEGF_PATHWAY|KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION|KEGG_FOCAL_ADHESION|KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY|KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY|PID_GLYPICAN_1PATHWAY|PID_HIF2PATHWAY|PID_S1P_S1P3_PATHWAY|PID_VEGFR1_2_PATHWAY|PID_VEGFR1_PATHWAY|PID_VEGF_VEGFR_PATHWAY|REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES|REACTOME_SIGNALING_BY_VEGF|REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS|WP_ANGIOGENESIS|WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS|WP_FOCAL_ADHESION|WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING|WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING|WP_NRP1TRIGGERED_SIGNALING_IN_PANCREATIC_CANCER|WP_PI3KAKT_SIGNALING|WP_PLEURAL_MESOTHELIOMA|WP_VEGFAVEGFR2_SIGNALING,26,VEGFA ~ FLT1
APOE,P02649,APOA1,P02647,0.912391239,0.738773877,1,5.59579523813762e-10,1.57577554049864e-06,0.654602739,3.54750626994215e-52,0.003948472,0.003794727,999,0,114,TRUE,TRUE,REACTOME_AMYLOID_FIBER_FORMATION|REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS|REACTOME_CHYLOMICRON_ASSEMBLY|REACTOME_CHYLOMICRON_REMODELING|REACTOME_HDL_REMODELING|REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS|REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS|REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY|REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE|REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE|REACTOME_PLASMA_LIPOPROTEIN_REMODELING|REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION|REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS|REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS|REACTOME_SENSORY_PERCEPTION|REACTOME_TRANSPORT_OF_SMALL_MOLECULES|REACTOME_VESICLE_MEDIATED_TRANSPORT|REACTOME_VISUAL_PHOTOTRANSDUCTION|WP_CHOLESTEROL_METABOLISM|WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3|WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES|WP_LIPID_PARTICLES_COMPOSITION|WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES|WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION|WP_VITAMIN_B12_METABOLISM,25,APOE ~ APOA1
FGFR4,P22455,KLB,Q86Z14,-0.96039604,-0.99079908,-0.897389739,1.47947433203511e-14,1.24189871040699e-10,0.859498849,8.08068589815162e-127,0.021287974,5.61274651326925e-15,999,292,114,TRUE,TRUE,PID_FGF_PATHWAY|REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER|REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS|REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4|REACTOME_FRS_MEDIATED_FGFR4_SIGNALING|REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE|REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS|REACTOME_IRS_MEDIATED_SIGNALLING|REACTOME_MAPK1_MAPK3_SIGNALING|REACTOME_MAPK_FAMILY_SIGNALING_CASCADES|REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING|REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK|REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4|REACTOME_PI3K_AKT_SIGNALING_IN_CANCER|REACTOME_PI_3K_CASCADE_FGFR4|REACTOME_SHC_MEDIATED_CASCADE_FGFR4|REACTOME_SIGNALING_BY_FGFR|REACTOME_SIGNALING_BY_FGFR4|REACTOME_SIGNALING_BY_INSULIN_RECEPTOR|REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES|REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R,21,FGFR4 ~ KLB
